772836731	9361	9363
777720051	2007	2018
782149032	91	105
788273361	2483	2505
832908978	3073	3075
999000878	2730	2748
788271400	2659	2676
787730392	395	410
999001290	1461	1465
773650987	1780	1788
798244842	12063	12080
999001259	4095	4098
999001211	1588	1604
777785889	379	384
790666929	1405	1429
761722669	1944	1955
999001280	2370	2373
738442776	797	811
779309765	3469	3484
999000858	3346	3359
738542398	1632	1635
999001419	2408	2425
788847916	3907	3926
832916492	1474	1486
761955563	3405	3429
788626289	66	85
832913653	3051	3054
787085939	3598	3617
730269378	37	56
730081389	1649	1661
730081389	1660	1673
784382409	488	493
781672902	5737	5749
730246508	408	428
794344513	1273	1285
999000851	1344	1346
776385494	1925	1929
787966255	3892	3912
763114850	5680	5688
776126299	2353	2365
763280007	2018	2031
761575506	728	732
785331076	216	239
783774960	4004	4027
832913316	2119	2133
832917778	528	550
832910505	56	69
761568202	733	744
778094905	681	697
790499380	4558	4571
999001299	294	299
784143418	2550	2556
832908905	989	1013
778358096	1269	1289
738447109	3413	3425
786004130	2324	2339
782448403	1726	1730
832908730	5184	5203
778730964	635	650
789753303	190	207
999001256	3119	3129
738028498	1441	1442
738781754	979	983
777869943	4522	4536
738361208	1759	1761
999000874	1564	1582
740235127	1612	1616
730093263	2251	2260
789454337	3725	3747
778507244	353	361
789512681	9174	9181
763412406	1556	1564
794141509	49	69
832917532	2080	2084
999001323	759	767
